City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Coahuayana,MX,75.27,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
6,Atuona,PF,77.05,light rain,-9.8,-139.0333,Villa Enata
7,Bitkine,TD,76.86,broken clouds,11.9801,18.2138,
13,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
17,Altamira,BR,78.75,broken clouds,-3.2033,-52.2064,Requinte Hotel
18,Kapaa,US,80.92,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
21,San Matias,BO,80.2,overcast clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
22,Shingu,JP,76.44,overcast clouds,33.7333,135.9833,Shingu UI Hotel
27,Hilo,US,83.93,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
28,Kutum,SD,76.91,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
31,Bundaberg,AU,75.22,broken clouds,-24.85,152.35,Takalvan Motel
33,Rikitea,PF,75.04,broken clouds,-23.1203,-134.9692,People ThankYou
35,Hurghada,EG,83.57,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
42,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
43,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
49,Sao Felix Do Xingu,BR,76.01,few clouds,-6.6447,-51.995,Rio Xingu Camping
54,Teahupoo,PF,76.96,overcast clouds,-17.8333,-149.2667,Vanira Lodge
59,Laguna,US,79.32,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
68,Cayenne,GF,77.04,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
70,Gunjur,GM,77.07,moderate rain,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
78,Hithadhoo,MV,81.52,overcast clouds,-0.6,73.0833,Scoop Guest House
80,Annamalainagar,IN,79.84,overcast clouds,11.4,79.7333,Hotel Akshaya
82,Bowen,AU,77.74,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
83,Atmakur,IN,75.83,overcast clouds,15.8833,78.5833,Mee seva atk
85,San Patricio,US,78.84,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
86,Sabang,ID,81.99,few clouds,5.8933,95.3214,Hotel Citra
96,Tevaitoa,PF,78.98,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
98,Gabu,GW,75.0,overcast clouds,12.2833,-14.2167,Hotel karsa
103,Faanui,PF,79.0,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
105,Sao Filipe,CV,77.61,broken clouds,14.8961,-24.4956,Hotel Xaguate
107,Paredon,MX,79.7,few clouds,16.0333,-93.8667,Hotel Principal Paredon
113,Niquelandia,BR,75.6,overcast clouds,-14.4739,-48.4597,Hotel Suinã
