City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Coahuayana,MX,18.7333,-103.6833,75.27,98,100,2.46,overcast clouds
1,Mataura,NZ,-46.1927,168.8643,47.48,45,91,10.07,overcast clouds
2,Ushuaia,AR,-54.8,-68.3,40.66,81,0,3.44,clear sky
3,Ahipara,NZ,-35.1667,173.1667,61.03,85,65,13.18,broken clouds
4,Manjacaze,MZ,-24.7117,33.8828,64.24,97,6,5.12,clear sky
5,Punta Arenas,CL,-53.15,-70.9167,42.91,65,0,9.22,clear sky
6,Atuona,PF,-9.8,-139.0333,77.05,74,35,18.86,light rain
7,Bitkine,TD,11.9801,18.2138,76.86,81,78,7.52,broken clouds
8,Madimba,TZ,-10.4,40.3333,67.98,88,4,3.69,clear sky
9,Busselton,AU,-33.65,115.3333,59.11,48,97,13.06,overcast clouds
10,Qaanaaq,GL,77.484,-69.3632,7.38,74,61,7.4,broken clouds
11,Havoysund,NO,70.9963,24.6622,39.43,74,99,5.61,overcast clouds
12,Yellowknife,CA,62.456,-114.3525,42.57,60,7,11.01,clear sky
13,Vaini,TO,-21.2,-175.2,78.96,78,75,11.5,broken clouds
14,Ribeira Grande,PT,38.5167,-28.7,71.65,87,25,9.86,scattered clouds
15,Beringovskiy,RU,63.05,179.3167,40.33,73,96,14.2,overcast clouds
16,Darhan,MN,49.4867,105.9228,34.95,35,0,6.44,clear sky
17,Altamira,BR,-3.2033,-52.2064,78.75,64,71,0.49,broken clouds
18,Kapaa,US,22.0752,-159.319,80.92,78,75,18.41,broken clouds
19,Ponta Do Sol,PT,32.6667,-17.1,68.72,83,5,3.83,clear sky
20,Rio Gallegos,AR,-51.6226,-69.2181,48.25,61,0,21.85,clear sky
21,San Matias,BO,-16.3667,-58.4,80.2,65,100,3.38,overcast clouds
22,Shingu,JP,33.7333,135.9833,76.44,75,97,5.32,overcast clouds
23,Port Elizabeth,ZA,-33.918,25.5701,61.32,91,1,14.0,clear sky
24,Atar,MR,20.5169,-13.0499,87.91,27,5,5.7,clear sky
25,Kodiak,US,57.79,-152.4072,53.11,66,75,9.22,broken clouds
26,Narsaq,GL,60.9167,-46.05,35.82,65,48,4.45,scattered clouds
27,Hilo,US,19.7297,-155.09,83.93,73,0,6.91,clear sky
28,Kutum,SD,14.2,24.6667,76.91,46,73,7.85,broken clouds
29,Coari,BR,-4.085,-63.1414,73.29,98,85,2.24,overcast clouds
30,Ilulissat,GL,69.2167,-51.1,32.02,86,100,1.14,overcast clouds
31,Bundaberg,AU,-24.85,152.35,75.22,58,64,5.99,broken clouds
32,Jamestown,US,42.097,-79.2353,44.24,62,0,10.36,clear sky
33,Rikitea,PF,-23.1203,-134.9692,75.04,65,53,5.93,broken clouds
34,Kaitangata,NZ,-46.2817,169.8464,51.6,49,57,15.86,broken clouds
35,Hurghada,EG,27.2574,33.8129,83.57,38,0,13.04,clear sky
36,Bredasdorp,ZA,-34.5322,20.0403,53.28,93,100,7.11,overcast clouds
37,Esperance,AU,-33.8667,121.9,55.24,78,95,17.72,overcast clouds
38,Ouadda,CF,8.0777,22.4007,66.42,98,100,0.92,moderate rain
